3 20 1
0.453 0.916 0.176 0.224
0.726 0.77 0.023 -0.831
0.528 0.941 0.766 -0.753
-0.669 0.425 0.816 -0.059
0.705 0.884 -0.262 0.184
0.754 -0.961 0.968 -0.861
-0.759 -0.497 -0.775 -0.441
-0.016 -0.328 -0.912 -0.142
-0.728 -0.821 -0.898 -0.021
0.897 0.559 -0.479 -0.31
-0.415 0.787 -0.642 0.085
-0.929 0.634 0.517 -0.526
-0.056 0.191 -0.348 -0.54
0.21 -0.345 -0.386 -0.546
-0.712 0.437 -0.488 0.775
-0.634 0.307 -0.483 -0.973
0.123 -0.009 -0.834 -0.638
-0.374 0.698 -0.18 -0.867
-0.679 0.86 0.975 0.272
-0.439 0.185 0.522 -0.568
0.241 -0.956 0.851 0.864 -0.975 0.18 0.047 0.365 0.462 0.067 0.293 -0.839 -0.72 0.09 0.945 0.463 -0.019 -0.432 0.525 -0.923 -0.367
